鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,10.97,商,,,1130930,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.38,2,2,2,有,無,10300000,90823,坡道平面,24.14,1650000,,RPVNMLRJIIJGFAU07CB,超綻,A棟2-07F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,12.75,商,,,1130923,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.18,3,2,2,有,無,12180000,93128,坡道平面,24.72,1800000,,RPWNMLRJIIJGFAU17CB,超綻,C棟7-08F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,10.68,商,,,1130913,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.79,2,2,2,有,無,10460000,92059,坡道平面,24.72,1800000,,RPXNMLRJIIJGFAU27CB,超綻,D棟1-04F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,11.86,商,,,1130917,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.38,2,2,2,有,無,11300000,90770,坡道平面,24.72,1800000,,RPOOMLRJIIJGFAU09CB,超綻,D棟2-11F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,8.9,商,,,1130930,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.29,2,2,1,有,無,9530000,98384,坡道平面,24.72,1800000,,RPPOMLRJIIJGFAU56CB,超綻,D棟8-10F號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉興路三段102號旁,21.16,,鄉村區,乙種建築用地,1130923,土地2建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.65,2,2,2,有,無,4880000,67171,,0.0,0,,RPROMLRJIIJGFAU76CB,天韻,1棟3C號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉荳蘭三街,28.8,商,,,1130916,土地2建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.03,0,0,2,有,無,11300000,70006,升降平面,29.9,1000000,本戶無隔間、除衛浴外無地磚。毛胚屋；,RPPNMLRJIIJGFAU56DB,吉安之星,B棟3F-5號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市豐村,38.89,住,,,1130925,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.35,3,2,2,有,無,12200000,96715,一樓平面,13.75,1600000,,RPQNMLSJIIJGFAU66CB,沐谷上流,1棟5F號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街及吉祥六街,36.9,住,,,1130922,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,150.35,3,2,2,有,無,10840000,75937,坡道平面,24.72,1300000,,RPPNMLTJIIJGFAU66CB,天悅,B棟B6號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.23,商,,,1130923,土地2建物1車位0,八層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,69.24,2,2,1,有,無,6550000,94598,,0.0,0,,RPQNMLTJIIJGFAU76CB,吳狄LV,8B棟8B號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中美路,9.23,商,,,1131001,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,85.18,2,2,1,有,無,8500000,108319,升降機械,15.94,1000000,,RPRNMLTJIIJGFAU86CB,吳狄LV,10B棟10B號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街39號旁,19.65,住,,,1130910,土地2建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.54,2,2,1,有,無,9580000,93575,坡道平面,60.81,2400000,,RPSNMLTJIIJGFAU96CB,天麗,D棟2F號,
花蓮市,房地(土地+建物),花蓮縣花蓮市豐村,29.56,住,,,1130928,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.89,2,2,1,有,無,7300000,89144,,0.0,0,,RPUNMLTJIIJGFAU17CB,沐谷上流,1棟3樓B號,
花蓮市,房地(土地+建物),花蓮縣花蓮市進豐街,18.32,住,,,1130916,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,49.6,2,2,1,有,無,4800000,96774,,0.0,0,,RPPNMLPKIIJGFAU98CB,花小路,A棟3號,
花蓮市,房地(土地+建物),花蓮縣花蓮市進豐街,18.32,住,,,1130917,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,49.6,2,2,1,有,無,4800000,96774,,0.0,0,,RPQNMLPKIIJGFAU09CB,花小路,A棟7號,
花蓮市,房地(土地+建物),花蓮縣花蓮市進豐街,25.43,住,,,1130917,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.66,2,2,2,有,無,7800000,105892,,0.0,0,,RPRNMLPKIIJGFAU56CB,花小路,B棟6號,
花蓮市,房地(土地+建物),花蓮縣花蓮市進豐街,18.32,住,,,1131012,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,49.6,2,2,1,有,無,4900000,98790,,0.0,0,,RPSNMLPKIIJGFAU66CB,花小路,A棟5號,
花蓮市,房地(土地+建物),花蓮縣花蓮市進豐街,18.32,住,,,1130917,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,57.85,2,2,1,有,無,6000000,103717,,0.0,0,,RPPNMLQKIIJGFAU09CB,花小路,A棟1號,
花蓮市,房地(土地+建物),花蓮縣花蓮市進豐街,25.43,住,,,1131007,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.66,2,2,2,有,無,7800000,105892,,0.0,0,,RPQNMLQKIIJGFAU56CB,花小路,B棟2號,
花蓮市,房地(土地+建物),花蓮縣花蓮市進豐街,25.43,住,,,1130917,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.66,2,2,2,有,無,7800000,105892,,0.0,0,,RPRNMLQKIIJGFAU66CB,花小路,B棟4號,
花蓮市,房地(土地+建物),花蓮縣花蓮市進豐街,25.43,住,,,1130917,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.66,2,2,2,有,無,7800000,105892,,0.0,0,,RPSNMLQKIIJGFAU76CB,花小路,B棟8號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,15.72,商,,,1131010,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.57,4,2,2,有,無,14020000,88647,坡道平面,24.72,1800000,,RPPNMLSKIIJGFAU66CB,超綻,A棟1-02F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,16.02,商,,,1130928,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.57,4,2,2,有,無,14430000,91621,坡道平面,24.72,1800000,,RPQNMLSKIIJGFAU76CB,超綻,A棟1-07F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中正路315巷2弄,26.35,商,,,1131010,土地1建物1車位1,一層,15,店面(店鋪),商業用,鋼筋混凝土造,,211.76,0,0,1,有,無,27600000,137610,坡道平面,25.0,1900000,,RPPNMLLLIIJGFAU68CB,三上御景,S棟2號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕十街,28.5,住,,,1131008,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.95,2,2,2,有,無,9780000,86241,其他,32.94,1500000,,RPPNMLMLIIJGFAU78CB,典藏拉菲爾,1棟4E號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉荳蘭三街,19.55,住,,,1131008,土地2建物0車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.15,0,0,2,有,無,7950000,100361,升降平面,29.9,1000000,本戶無隔間、無地磚，為全毛胚屋。毛胚屋；,RPPNMLMLIIJGFAU88DB,吉安之星,A棟5F-2號,
新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,35.36,住,,,1131018,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.54,2,1,2,有,無,4500000,62902,,0.0,0,,RPPNMLOJJIJGFAU98DB,太魯閣讚2.0,D棟2D8號,
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里二街,84.75,住,,,1131026,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,188.64,3,2,3,有,無,10500000,55662,,0.0,0,,RPPNMLPJJIJGFAU09DB,以樂家園11,A棟2號,
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里二街,84.75,住,,,1131026,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,188.64,3,2,3,有,無,10500000,55662,,0.0,0,,RPQNMLPJJIJGFAU56DB,以樂家園11,A棟1號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉興路一段,80.57,住,,,1131018,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,179.98,4,2,4,有,無,15000000,83343,一樓平面,0.0,0,,RPPNMLRJJIJGFAU66DB,大金囍5,B棟6號,
