鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
富里鄉,土地,富山段454地號,2608.95,,山坡地保育區,暫未編定,1140114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2200000,843,,0.0,0,未登記建物；,RPQNMLRKKHKGFCU07DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市南京街１９１號七樓之二十一,11.56,商,,,1140112,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0761117,75.7,1,1,1,有,有,3100000,40951,,0.0,0,,RPXNMLSKKHKGFAU67DA,56.67,0.0,0.0,有,040
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明仁一街７３巷１０號,102.0,住,,,1140109,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1000302,202.0,4,2,5,有,無,15000000,74257,,0.0,0,其他增建；,RPOOMLSKKHKGFAU86DA,185.76,0.0,16.24,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國興一街９５號二樓之七,9.09,都市：其他:倉儲區,,,1140113,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0810930,48.18,1,0,1,有,有,2700000,56040,,0.0,0,其他增建；,RPRNMLTKKHKGFAU17DA,37.23,0.0,6.89,有,041
玉里鎮,房地(土地+建物),花蓮縣玉里鎮中正路４１號,163.0,商,,,1140127,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0571208,153.98,0,0,0,無,無,6600000,42863,,0.0,0,,RPPNMLRKKHKGFCU96DA,153.98,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉建國路一段１２１巷３９號二樓之二,42.32,住,,,1140112,土地2建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130924,128.27,3,2,2,有,有,9500000,74063,,0.0,0,,RPTOMLSKKHKGFAU37DA,84.94,0.0,10.48,有,042
花蓮市,土地,民心段121-49地號,108.5,住,,,1140106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1700000,15668,,0.0,0,未登記建物；,RPQNMLMLJHKGFAU98DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海三街３７巷８號,137.0,,特定農業區,甲種建築用地,1140106,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701231,116.54,4,2,4,有,無,7300000,62639,,0.0,0,其他增建；,RPPOMLSKKHKGFAU96DA,116.54,0.0,0.0,無,043
花蓮市,房地(土地+建物),花蓮縣花蓮市仁愛街２７巷２號,67.0,商,,,1140127,土地1建物1車位0,全,一層,透天厝,住家用,木造,,42.32,2,1,1,有,無,4100000,96881,,0.0,0,其他增建；,RPQOMLSKKHKGFAU07DA,42.32,0.0,0.0,無,044
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉興一街３７３巷５８弄６號,100.0,住,,,1140105,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940722,188.47,4,2,3,有,無,11800000,62609,,0.0,0,頂樓加蓋；其他增建；,RPVNMLKLKHKGFAU76DA,182.77,0.0,5.7,無,
