編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLRKKIJGFBU96DA,49,49.50,住宅,木石磚造（磚石造）,65年1月1日,一層,一層,全筆移轉
RPQNMLPLKIJGFAU76DA,33,21.11,住家用,鋼筋混凝土造,81年5月23日,五層,四層 陽台,全筆移轉
RPQNMLPLKIJGFAU76DA,33,2.77,共有部份,鋼筋混凝土造,81年5月23日,五層,,持分移轉
RPWNMLRLKIJGFAU57DA,53,106.83,住家用,鋼筋混凝土加強磚造,60年12月6日,二層,一層 二層,全筆移轉
RPTNMLQLKIJGFAU17DA,31,34.39,住家用,鋼筋混凝土造,82年8月2日,七層,七層 陽台,全筆移轉
RPTNMLQLKIJGFAU17DA,31,8.68,共有部份,鋼筋混凝土造,82年8月2日,七層,,持分移轉
RPSNMLRLKIJGFAU17DA,39,25.99,住家用,鋼筋混凝土造,75年4月2日,五層,二層 陽台,持分移轉
RPSNMLRLKIJGFAU17DA,39,2.94,共有部份,鋼筋混凝土造,75年4月2日,五層,,持分移轉
RPSNMLRLKIJGFAU17DA,39,1.77,共有部份,鋼筋混凝土造,75年4月2日,五層,,持分移轉
RPQNMLRLKIJGFAU96DA,29,48.48,住家用,鋼筋混凝土造,85年1月30日,五層,三層 陽台 花台,全筆移轉
RPQNMLRLKIJGFAU96DA,29,12.42,共有部份,鋼筋混凝土造,85年1月30日,五層,,持分移轉
RPQNMLKMKIJGFCU56DA,37,121.06,住商用,鋼筋混凝土造,77年4月25日,二層,一層 二層 陽台 騎樓,全筆移轉
RPQNMLRLKIJGFCU17DA,30,197.51,住家用,鋼筋混凝土造,83年11月7日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTNMLMJJHKGFAU09DA,44,100.05,住家用,鋼筋混凝土加強磚造,70年2月2日,二層,一層 二層,全筆移轉
RPXOMLLMKIJGFAU27DA,56,68.68,住家用,鋼筋混凝土造,57年12月23日,二層,一層 二層,全筆移轉
RPUNMLKMKIJGFAU76DA,44,98.88,住商用,鋼筋混凝土加強磚造,69年9月8日,二層,一層 二層 騎樓,全筆移轉
RPUOMLLMKIJGFAU96DA,40,80.44,住家用,鋼筋混凝土造,74年2月7日,五層,五層 陽台,全筆移轉
RPUOMLLMKIJGFAU96DA,40,11.06,共有部份,鋼筋混凝土造,74年2月7日,五層,,持分移轉
RPROMLMJJHKGFAU98DA,94,32.23,住家用,木造,20年5月15日,一層,一層 倉庫,持分移轉
RPPNMLOLKHKGFCU86EA,45,115.29,住商用,鋼筋混凝土加強磚造,69年7月19日,二層,一層 二層 騎樓,全筆移轉
RPWNMLKMKIJGFAU96DA,1,40.65,集合住宅,鋼筋混凝土造,112年7月25日,五層,二層 陽台,全筆移轉
RPWNMLKMKIJGFAU96DA,1,16.29,共有部份,鋼筋混凝土造,112年7月25日,五層,,持分移轉
